Title,Year,Citation Count
Wavelet transform techniques for image resolution enhancement: a study,2012,27
"Color, Shape and Texture feature extraction for Content Based Image Retrieval System: A Study",2016,15
IMAGE RESOLUTION ENHANCEMENT BY USING WAVELET TRANSFORM,2013,6
Disease Prediction Using Machine Learning,2024,0
Agri-Tech: Crop Recommendation Model,2023,0
FAKE WEBSITE AND NEWS DETECTION,2023,0
Eye Controlled Mouse Cursor and Virtual Keyboard for DIVYANG,2023,0
Specific Search Engine Optimization,2020,0
"Crawling, Indexing and Ranking in Search Engine",2020,0
A Review: Mobile Payment Applications,2019,0
Android Applications for Educational Support,2019,0
Comparative Study of Object Classification Methods,2018,0
"Object Detection, Classification, Measurement, Image Segmentation and Pixel Dimension  Computation Algorithm: Comparative Study",2018,0
Multi-touch Gestures Authentication Techniques: A Study,2017,0
Multi touch Gesture Generation and Recognition Techniques: A Study,2017,0
Content Based Image Retrieval: A Study,2016,0
Image Resolution Enhancement by using Wavelet Transform,2013,0
AI BASED OCR FOR TEXT RECOGNITION FROM HANDWRITTEN DOCUMENTS,N/A,0
